# Code Generated by Sidekick is for learning and experimentation purposes only.
eccTable,description,module,changeType,s4Table,cdsView,delta,azurePattern,snowflakePattern,notes
FAGLFLEXT,New G/L Totals,FI,Deprecated,ACDOCA (aggregate),I_GLAccountLineItem,Yes,ODP via ADF → Synapse → Materialized View for totals,ODP → Snowflake → Dynamic Table for totals,Totals derived from ACDOCA. Build aggregation layer in cloud target.
SKA1,G/L Account Master (Chart of Accounts),FI,Unchanged,SKA1,I_GLAccountInChartOfAccounts,No,ADF OData full load → ADLS Gen2 (daily refresh),Full load → Snowflake (daily MERGE),Master data - unchanged structure. Full load recommended (small volume).
SKAT,G/L Account Texts,FI,Unchanged,SKAT,I_GLAccountText,No,ADF OData full load → ADLS Gen2,Full load → Snowflake (daily refresh),Text table for GL accounts. Small volume - full load is efficient.
T001,Company Code Master,FI,Unchanged,T001,I_CompanyCode,No,ADF OData → ADLS Gen2 (config - weekly refresh),Full load → Snowflake (config table - weekly),Configuration table. Rarely changes. Weekly full load sufficient.
KNA1,Customer Master (General),FI,Deprecated,BUT000,I_Customer,No,ADF OData full load → ADLS Gen2 (daily - BP model),Full load → Snowflake (daily - Business Partner model),Customer master migrated to Business Partner (BUT000). CDS view still exposes customer-specific attributes.
KNB1,Customer Master (Company Code),FI,Unchanged,KNB1,I_CustomerCompanyCode,No,ADF OData full load → ADLS Gen2,Full load → Snowflake (daily),Company code level customer data. Unchanged in S/4.
LFA1,Vendor Master (General),FI,Deprecated,BUT000,I_Supplier,No,ADF OData full load → ADLS Gen2 (BP model),Full load → Snowflake (Business Partner model),Vendor master migrated to Business Partner. Use I_Supplier CDS for extraction.
LFB1,Vendor Master (Company Code),FI,Unchanged,LFB1,I_SupplierCompanyCode,No,ADF OData full load → ADLS Gen2,Full load → Snowflake (daily),Company code level vendor data. Structure unchanged.
REGUH,Payment Program Settlement Data,FI,Unchanged,REGUH,I_PaymentRunItem,No,ADF OData → ADLS Gen2 (incremental by run date),Load → Snowflake (incremental by payment run),Payment run header. Filter by run date for incremental loads.
REGUP,Payment Program Line Items,FI,Unchanged,REGUP,I_PaymentRunItemPayable,No,ADF OData → ADLS Gen2 (incremental by run date),Load → Snowflake (incremental by payment run),Payment line items. Can be high volume - use date-based incremental.
ANEK,Document Header Asset Posting,FI,Unchanged,ANEK,I_AssetDocument,No,ADF OData → ADLS Gen2 (incremental by posting date),Full load → Snowflake (incremental by date),Asset document header. Relatively low volume.
ANLA,Asset Master Record,FI,Unchanged,ANLA,I_FixedAsset,No,ADF OData full load → ADLS Gen2 (daily),Full load → Snowflake (daily),Fixed asset master. Structure unchanged in S/4.
ANLC,Asset Value Fields (Cumulative),FI,Unchanged,ANLC,I_FixedAssetValue,No,ADF OData full load → ADLS Gen2,Full load → Snowflake (daily),Asset depreciation values. Full load recommended.
COEP,CO Line Items (Actual),CO,Merged,ACDOCA,I_JournalEntryItem,Yes,ODP via ADF → ADLS Gen2 (filter: CO-relevant postings),ODP → Snowflake (filter on controlling fields),CO actual line items merged into ACDOCA. Filter by cost element and cost center.
COSS,CO Totals (Activity Allocations),CO,Deprecated,ACDOCA,I_JournalEntryItem,Yes,ODP via ADF → ADLS Gen2 → Aggregation in Synapse,ODP → Snowflake → dbt model for CO totals,CO summary tables eliminated. Derive from ACDOCA with cost object grouping.
COSP,CO Totals (External Postings),CO,Deprecated,ACDOCA,I_JournalEntryItem,Yes,ODP via ADF → ADLS Gen2 → Aggregation in Synapse,ODP → Snowflake → dbt model for CO totals,CO external posting totals. Now derived from ACDOCA aggregation.
CSKS,Cost Center Master,CO,Unchanged,CSKS,I_CostCenter,No,ADF OData full load → ADLS Gen2 (daily),Full load → Snowflake (daily MERGE),Cost center master data. Structure unchanged.
CSKT,Cost Center Texts,CO,Unchanged,CSKT,I_CostCenterText,No,ADF OData full load → ADLS Gen2,Full load → Snowflake (daily),Text table for cost centers. Small volume.
CEPC,Profit Center Master,CO,Unchanged,CEPC,I_ProfitCenter,No,ADF OData full load → ADLS Gen2 (daily),Full load → Snowflake (daily MERGE),Profit center master. Unchanged structure.
CEPCT,Profit Center Texts,CO,Unchanged,CEPCT,I_ProfitCenterText,No,ADF OData full load → ADLS Gen2,Full load → Snowflake (daily),Profit center descriptions. Small volume.
CSKA,Cost Element Master (Chart of Accts),CO,Deprecated,SKA1,I_GLAccountInChartOfAccounts,No,ADF OData full load → ADLS Gen2,Full load → Snowflake (daily),Cost elements merged with GL accounts in S/4. No separate cost element table.
TKA01,Controlling Area Master,CO,Unchanged,TKA01,I_ControllingArea,No,ADF OData → ADLS Gen2 (config - weekly),Full load → Snowflake (config - weekly),Configuration table. Very small volume.
COBK,CO Document Header,CO,Merged,ACDOCA,I_JournalEntry,Yes,ODP via ADF → ADLS Gen2,ODP → Snowflake,CO document headers now in ACDOCA. Use journal entry header CDS.
VBAK,Sales Order Header,SD,Unchanged,VBAK,I_SalesOrder,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake),ODP → Snowflake Stage → Merge into target,Sales order header. Unchanged in S/4. Delta-enabled via ODP.
VBAP,Sales Order Item,SD,Unchanged,VBAP,I_SalesOrderItem,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake),ODP → Snowflake Stage → Merge into target,Sales order item. High volume - delta extraction critical.
VBEP,Sales Order Schedule Line,SD,Unchanged,VBEP,I_SalesOrderScheduleLine,Yes,ODP via ADF → ADLS Gen2,ODP → Snowflake → Merge,Schedule line data for sales orders. Delta-enabled.
VBUK,Sales Document Header Status,SD,Deprecated,VBAK (status fields),I_SalesOrder,Yes,ODP via ADF → ADLS Gen2,ODP → Snowflake,Status fields moved into VBAK header. No separate status table.
VBUP,Sales Document Item Status,SD,Deprecated,VBAP (status fields),I_SalesOrderItem,Yes,ODP via ADF → ADLS Gen2,ODP → Snowflake,Item status fields moved into VBAP. No separate status table.
VBRK,Billing Document Header,SD,Unchanged,VBRK,I_BillingDocument,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake),ODP → Snowflake Stage → Merge into target,Billing header. Delta-enabled. Unchanged structure.
VBRP,Billing Document Item,SD,Unchanged,VBRP,I_BillingDocumentItem,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake),ODP → Snowflake Stage → Merge into target,Billing item. High volume - delta extraction recommended.
LIKP,Delivery Document Header,SD,Unchanged,LIKP,I_DeliveryDocument,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake),ODP → Snowflake Stage → Merge into target,Outbound/inbound delivery header. Delta-enabled.
LIPS,Delivery Document Item,SD,Unchanged,LIPS,I_DeliveryDocumentItem,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake),ODP → Snowflake Stage → Merge into target,Delivery item. High volume - delta extraction critical.
VBFA,Sales Document Flow,SD,Unchanged,VBFA,I_SalesDocumentFlow,No,ADF OData → ADLS Gen2 (incremental by created date),Load → Snowflake (incremental by creation date),Document flow table. No standard delta - use date-based incremental.
KONV,Pricing Conditions (Document),SD,Unchanged,PRCD_ELEMENTS,I_PricingElement,No,ADF OData → ADLS Gen2 (load with parent doc),Load → Snowflake (load with billing/order),Pricing moved to PRCD_ELEMENTS in S/4. CDS provides unified access.
VBPA,Sales Document Partner,SD,Unchanged,VBPA,I_SalesOrderPartner,No,ADF OData → ADLS Gen2 (load with parent doc),Load with parent document → Snowflake,Partner functions on sales documents. Load alongside order data.
EKKO,Purchase Order Header,MM,Unchanged,EKKO,I_PurchaseOrder,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake),ODP → Snowflake Stage → Merge into target,PO header. Unchanged in S/4. Delta-enabled.
EKPO,Purchase Order Item,MM,Unchanged,EKPO,I_PurchaseOrderItem,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake),ODP → Snowflake Stage → Merge into target,PO item. High volume - delta extraction critical.
EBAN,Purchase Requisition,MM,Unchanged,EBAN,I_PurchaseRequisitionItem,Yes,ODP via ADF → ADLS Gen2 (Delta Lake),ODP → Snowflake → Merge,Purchase requisitions. Delta-enabled via ODP.
EKBE,Purchase Order History,MM,Unchanged,EKBE,I_PurchaseOrderHistoryAPI,Yes,ODP via ADF → ADLS Gen2 (Delta),ODP → Snowflake → Merge,GR/IR history. Delta-enabled. Important for 3-way match.
MSEG,Material Document Segment,MM,Merged,MATDOC,I_MaterialDocumentItem,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake),ODP → SLT → Kafka → Snowpipe,Goods movements merged into MATDOC. Major structural change.
MKPF,Material Document Header,MM,Merged,MATDOC,I_MaterialDocumentHeader,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake),ODP → SLT → Kafka → Snowpipe,Material doc header merged into MATDOC. Use header CDS view.
MARA,Material Master (General),MM,Extended,MARA,I_Product,No,ADF OData full load → ADLS Gen2 (daily),Full load → Snowflake (daily MERGE),Material number extended to 40 chars. Functional structure similar.
MAKT,Material Descriptions,MM,Unchanged,MAKT,I_ProductDescription,No,ADF OData full load → ADLS Gen2,Full load → Snowflake (daily),Material text table. Small volume - full load efficient.
MARC,Material Master (Plant),MM,Unchanged,MARC,I_ProductPlant,No,ADF OData full load → ADLS Gen2 (daily),Full load → Snowflake (daily MERGE),Plant-level material data. Structure unchanged.
MARD,Material Master (Storage Location),MM,Unchanged,MARD,I_MaterialStock,No,ADF OData full load → ADLS Gen2 (snapshot - daily),Full load → Snowflake (daily snapshot),Stock at storage location. Full snapshot recommended for current stock.
MBEW,Material Valuation,MM,Unchanged,MBEW,I_ProductValuation,No,ADF OData full load → ADLS Gen2 (daily),Full load → Snowflake (daily),Valuation data (moving avg price etc). Full load daily.
EINA,Purchasing Info Record (General),MM,Unchanged,EINA,I_PurchasingInfoRecord,No,ADF OData full load → ADLS Gen2,Full load → Snowflake (daily),Info record general data. Structure unchanged.
EINE,Purchasing Info Record (Org Level),MM,Unchanged,EINE,I_PurgInfoRecdOrgPlantData,No,ADF OData full load → ADLS Gen2,Full load → Snowflake (daily),Org-level info record data. Structure unchanged.
T001W,Plant Master,MM,Unchanged,T001W,I_Plant,No,ADF OData → ADLS Gen2 (config - weekly),Full load → Snowflake (config - weekly),Plant configuration. Very small volume.
T001L,Storage Location Master,MM,Unchanged,T001L,I_StorageLocation,No,ADF OData → ADLS Gen2 (config - weekly),Full load → Snowflake (config - weekly),Storage location config. Very small volume.
RESB,Reservation Item,MM,Unchanged,RESB,I_Reservation,No,ADF OData → ADLS Gen2 (incremental by date),Load → Snowflake (incremental by requirement date),Material reservations. Use date-based incremental loading.
AFKO,Production Order Header,PP,Unchanged,AFKO,I_MfgOrderOperationAssgmt,Yes,ODP via ADF → ADLS Gen2 (Delta Lake),ODP → Snowflake → Merge,Production order header. Delta-enabled in S/4.
AFPO,Production Order Item,PP,Unchanged,AFPO,I_ManufacturingOrder,Yes,ODP via ADF → ADLS Gen2 (Delta Lake),ODP → Snowflake → Merge,Production order item/goods receipt. Delta-enabled.
AFVV,Production Order Operation Quantities,PP,Unchanged,AFVV,I_MfgOrderOperation,No,ADF OData → ADLS Gen2 (load with parent order),Load with parent order → Snowflake,Operation-level quantities. Load alongside order data.
AUFK,Order Master Data,PP,Unchanged,AUFK,I_InternalOrder,No,ADF OData full load → ADLS Gen2 (daily),Full load → Snowflake (daily MERGE),Internal/production order master. Unchanged structure.
JEST,Object Status,PP,Unchanged,JEST,I_SystemStatus,No,ADF OData → ADLS Gen2 (load with parent object),Load with parent object → Snowflake,System/user status for orders. Load contextually.
PLKO,Routing Header,PP,Unchanged,PLKO,I_ProductionRoutingHeader,No,ADF OData full load → ADLS Gen2 (weekly),Full load → Snowflake (weekly),Routing master data header. Low change frequency.
PLPO,Routing Operation,PP,Unchanged,PLPO,I_ProductionRoutingOperation,No,ADF OData full load → ADLS Gen2 (weekly),Full load → Snowflake (weekly),Routing operations. Low change frequency.
STKO,BOM Header,PP,Unchanged,STKO,I_BillOfMaterialHeader,No,ADF OData full load → ADLS Gen2 (weekly),Full load → Snowflake (weekly),Bill of Material header. Master data - weekly refresh.
STPO,BOM Item,PP,Unchanged,STPO,I_BillOfMaterialItem,No,ADF OData full load → ADLS Gen2 (weekly),Full load → Snowflake (weekly),BOM components. Master data - weekly refresh.
MKAL,Production Version,PP,Unchanged,MKAL,I_ProductionVersion,No,ADF OData full load → ADLS Gen2 (weekly),Full load → Snowflake (weekly),Production versions for material/plant. Low volume.
